9584,257,D,1PC BPS/HPS,Brantford / Hamilton Police Services Patch ,Interop ,Interagency/Common/Mutual Aid 
9600,258,D,1PC LPS,London Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9632,25a,D,1PC PRPS,Peel Regional Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9648,25b,D,1PC TPS,Toronto Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9664,25c,D,1PC WRPS,Waterloo Regional Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9680,25d,D,1PC WPS,Windsor Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9696,25e,D,1PC YRPS,York Regional PD Patch ,Interop ,Interagency/Common/Mutual Aid 
9856,268,D,1PC GPS,Guelph Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
9968,26f,D,1PC S-CPS,Strathroy-Caradoc Police Service Patch ,Interop ,Interagency/Common/Mutual Aid 
16960,424,DE,MOF Insp 1,Investigations and Inspections 1 ,Law Talk ,Ministry Of Finance 
16976,425,DE,MOF Insp 2,Investigations and Inspections 2 ,Law Talk ,Ministry Of Finance 
16992,426,DE,MOF Insp 3,Investigations and Inspections 3 ,Law Talk ,Ministry Of Finance 
17008,427,DE,MOF Insp 4,Investigations and Inspections 4 ,Law Talk ,Ministry Of Finance 
17024,428,DE,MOF Insp 5,Investigations and Inspections 5 ,Law Talk ,Ministry Of Finance 
17040,429,DE,MOF Insp 6,Investigations and Inspections 6 ,Law Talk ,Ministry Of Finance 
18304,478,DE,OPP 1ORG IGU,Organized Crime - Illegal Gambling Unit ,Law Talk ,OPP Intelligence 
32768,800,A,1PC PS,Public Safety  ,Interop ,Interagency/Common/Mutual Aid 
32800,802,A,1PC AMB,Common ,Interop ,MOH Interop 
32816,803,A,1PC POLICE,Police Common ,Interop ,Interagency/Common/Mutual Aid 
32832,804,A,1PC FIRE,Fire Common ,Interop ,Interagency/Common/Mutual Aid 
33088,814,A,OFM - 1,Ontario Fire Marshall - 1 ,Fire-Talk ,Ontario Fire Marshall 
33104,815,A,OFM - 2,Ontario Fire Marshall - 2 ,Fire-Talk ,Ontario Fire Marshall 
34720,87a,A,MOH OSHAWA ALRT,Pre-Alert ,EMS Dispatch ,MOH Oshawa CACC 
34736,87b,A,MOH OSHAWA ALRT,Pre-Alert ,EMS Dispatch ,MOH Oshawa CACC 
34976,88a,A,MOH ZONE 1,Southwest Zone Common ,Interop ,MOH Interop 
34992,88b,A,1 REG 1 COM,Region 1 Common ,Interop ,MOH Interop 
35008,88c,A,1 REG 2 COM,Region 2 Common ,Interop ,MOH Interop 
35024,88d,A,1 REG 3 COM,Region 3 Common ,Interop ,MOH Interop 
35040,88e,A,Windsor CACC,CACC ,EMS Dispatch ,MOH Windsor CACC 
35056,88f,A,Windsor City,City ,EMS Dispatch ,MOH Windsor CACC 
35072,890,A,Essex,Essex ,EMS Dispatch ,MOH Windsor CACC 
35088,891,A,Windsor TAC 1,Tactical 1 ,EMS-Tac ,MOH Windsor CACC 
35104,892,A,Windsor TAC 2,Tactical 2 ,EMS-Tac ,MOH Windsor CACC 
35120,893,A,Windsor TAC 3,Tactical 3 ,EMS-Tac ,MOH Windsor CACC 
35136,894,A,Windsor Spare,Spare ,EMS Dispatch ,MOH Windsor CACC 
35152,895,A,WAL CACC,Wallaceburg CACC ,EMS Dispatch ,MOH Wallaceburg CACC 
35168,896,A,WAL LAMBTON,Lambton ,EMS Dispatch ,MOH Wallaceburg CACC 
35184,897,A,WAL CH KENT,Kent ,EMS Dispatch ,MOH Wallaceburg CACC 
35200,898,A,WAL TAC 1,Tactical 1 ,EMS-Tac ,MOH Wallaceburg CACC 
35216,899,A,WAL TAC 2,Tactical 2 ,EMS-Tac ,MOH Wallaceburg CACC 
35232,89a,A,WAL TAC 3,Tactical 3 ,EMS-Tac ,MOH Wallaceburg CACC 
35248,89b,A,WAL SPARE,Spare ,EMS Dispatch ,MOH Wallaceburg CACC 
35264,89c,A,London CACC,CACC ,EMS Dispatch ,MOH London CACC 
35280,89d,A,London City 1,City 1 ,EMS Dispatch ,MOH London CACC 
35296,89e,A,London City 2,City 2 ,EMS Dispatch ,MOH London CACC 
35312,89f,A,London East,East ,EMS Dispatch ,MOH London CACC 
35328,8a0,A,London West,West ,EMS Dispatch ,MOH London CACC 
35344,8a1,A,London North,North ,EMS Dispatch ,MOH London CACC 
35360,8a2,A,London TAC 1,Tactical 1 ,EMS-Tac ,MOH London CACC 
35376,8a3,A,London TAC 2,Tactical 2 ,EMS-Tac ,MOH London CACC 
35392,8a4,A,London TAC 3,Tactical 3 ,EMS-Tac ,MOH London CACC 
35408,8a5,A,London TAC 4,Tactical 4 ,EMS-Tac ,MOH London CACC 
35424,8a6,A,London TAC 5,Tactical 5 - Owen Sound Hospital Patch ,EMS-Tac ,MOH London CACC 
35440,8a7,A,London TAC 6,Tactical 6 ,EMS-Tac ,MOH London CACC 
35456,8a8,A,London SPARE,Spare ,EMS Dispatch ,MOH London CACC 
35472,8a9,A,MOH CAM CACC,CACC ,EMS Dispatch ,MOH Cambridge CACC 
35488,8aa,A,MOH CAM N Patch,North - Hospital Patch ,Hospital ,MOH Cambridge CACC 
35504,8ab,A,MOH CAM S Patch,South - Hospital Patch ,Hospital ,MOH Cambridge CACC 
35520,8ac,A,MOH CAM TAC 1 WR,Tactical 1 - Waterloo Region ,EMS-Tac ,MOH Cambridge CACC 
35536,8ad,A,MOH CAM TAC 2 WR,Tactical 2 - Waterloo Region ,EMS-Tac ,MOH Cambridge CACC 
35552,8ae,A,MOH CAM TAC 3 WD,Tactical 3 - Wellington/Dufferin ,EMS-Tac ,MOH Cambridge CACC 
35568,8af,A,MOH CAM Spare,Spare ,EMS Dispatch ,MOH Cambridge CACC 
35584,8b0,A,Hamilton CACC,CACC ,EMS Dispatch ,MOH Hamilton CACC 
35600,8b1,A,Ham City East,City East ,EMS Dispatch ,MOH Hamilton CACC 
35616,8b2,A,Ham Niagara N,Niagara North ,EMS Dispatch ,MOH Hamilton CACC 
35632,8b3,A,Simcoe Norfolk,Simcoe Norfolk  ,EMS Dispatch ,MOH Hamilton CACC 
35648,8b4,A,Hamilton TAC 1,Tactical 1 ,EMS-Tac ,MOH Hamilton CACC 
35664,8b5,A,Hamilton TAC 2,Tactical 2 ,EMS-Tac ,MOH Hamilton CACC 
